x,psi_0,psi_1,psi_2,potential_scaled
0.945946,-0.048042,0.064270,-0.026826,0.044741
0.955956,-0.047587,0.064335,-0.027853,0.045693
0.965966,-0.047131,0.064386,-0.028869,0.046655
0.975976,-0.046675,0.064424,-0.029873,0.047626
0.985986,-0.046219,0.064449,-0.030865,0.048608
0.995996,-0.045763,0.064460,-0.031844,0.049600
1.006006,-0.045307,0.064459,-0.032811,0.050602
1.016016,-0.044851,0.064445,-0.033764,0.051614
1.026026,-0.044395,0.064418,-0.034704,0.052636
1.036036,-0.043939,0.064379,-0.035630,0.053669
1.046046,-0.043483,0.064327,-0.036543,0.054711
1.056056,-0.043028,0.064263,-0.037441,0.055763
1.066066,-0.042574,0.064186,-0.038324,0.056825
1.076076,-0.042120,0.064098,-0.039193,0.057897
1.086086,-0.041666,0.063998,-0.040046,0.058979
1.096096,-0.041214,0.063886,-0.040884,0.060071
1.106106,-0.040762,0.063763,-0.041707,0.061174
1.116116,-0.040311,0.063628,-0.042514,0.062286
1.126126,-0.039861,0.063483,-0.043305,0.063408
1.136136,-0.039412,0.063326,-0.044079,0.064540
1.146146,-0.038965,0.063158,-0.044838,0.065683
1.156156,-0.038518,0.062980,-0.045579,0.066835
1.166166,-0.038073,0.062791,-0.046304,0.067997
1.176176,-0.037629,0.062592,-0.047012,0.069170
1.186186,-0.037187,0.062383,-0.047703,0.070352
1.196196,-0.036746,0.062163,-0.048377,0.071544
1.206206,-0.036307,0.061934,-0.049034,0.072747
1.216216,-0.035870,0.061696,-0.049673,0.073959
1.226226,-0.035434,0.061448,-0.050295,0.075182
1.236236,-0.035000,0.061190,-0.050899,0.076414
1.246246,-0.034568,0.060924,-0.051485,0.077656
1.256256,-0.034137,0.060649,-0.052053,0.078909
1.266266,-0.033709,0.060365,-0.052604,0.080172
1.276276,-0.033283,0.060073,-0.053137,0.081444
1.286286,-0.032859,0.059773,-0.053652,0.082727
1.296296,-0.032437,0.059464,-0.054149,0.084019
1.306306,-0.032017,0.059148,-0.054627,0.085322
1.316316,-0.031599,0.058824,-0.055088,0.086634
1.326326,-0.031184,0.058493,-0.055531,0.087957
1.336336,-0.030771,0.058154,-0.055956,0.089290
1.346346,-0.030361,0.057808,-0.056362,0.090632
1.356356,-0.029953,0.057455,-0.056751,0.091985
1.366366,-0.029548,0.057096,-0.057122,0.093348
1.376376,-0.029145,0.056730,-0.057475,0.094721
1.386386,-0.028744,0.056358,-0.057810,0.096103
1.396396,-0.028347,0.055980,-0.058127,0.097496
1.406406,-0.027952,0.055596,-0.058426,0.098899
1.416416,-0.027560,0.055206,-0.058708,0.100312
1.426426,-0.027170,0.054810,-0.058972,0.101735
1.436436,-0.026784,0.054410,-0.059218,0.103167
1.446446,-0.026400,0.054004,-0.059447,0.104610
1.456456,-0.026019,0.053593,-0.059659,0.106063
1.466466,-0.025642,0.053178,-0.059854,0.107526
1.476476,-0.025267,0.052758,-0.060031,0.108999
1.486486,-0.024895,0.052334,-0.060192,0.110482
1.496496,-0.024526,0.051906,-0.060335,0.111975
1.506507,-0.024160,0.051473,-0.060462,0.113478
1.516517,-0.023797,0.051037,-0.060573,0.114991
1.526527,-0.023437,0.050598,-0.060667,0.116514
1.536537,-0.023081,0.050155,-0.060745,0.118047
1.546547,-0.022727,0.049708,-0.060806,0.119590
1.556557,-0.022377,0.049259,-0.060852,0.121143
1.566567,-0.022030,0.048807,-0.060882,0.122707
1.576577,-0.021686,0.048352,-0.060897,0.124280
1.586587,-0.021346,0.047895,-0.060896,0.125863
1.596597,-0.021008,0.047435,-0.060881,0.127456
1.606607,-0.020674,0.046973,-0.060850,0.129059
1.616617,-0.020343,0.046510,-0.060804,0.130672
1.626627,-0.020016,0.046044,-0.060744,0.132296
1.636637,-0.019691,0.045577,-0.060670,0.133929
1.646647,-0.019371,0.045108,-0.060581,0.135572
1.656657,-0.019053,0.044638,-0.060479,0.137226
1.666667,-0.018739,0.044167,-0.060363,0.138889
1.676677,-0.018428,0.043695,-0.060233,0.140562
1.686687,-0.018120,0.043222,-0.060090,0.142246
1.696697,-0.017816,0.042749,-0.059935,0.143939
1.706707,-0.017515,0.042275,-0.059766,0.145642
1.716717,-0.017217,0.041800,-0.059585,0.147356
1.726727,-0.016923,0.041325,-0.059392,0.149079
1.736737,-0.016632,0.040851,-0.059187,0.150813
1.746747,-0.016345,0.040376,-0.058970,0.152556
1.756757,-0.016061,0.039902,-0.058741,0.154310
1.766767,-0.015780,0.039427,-0.058502,0.156073
1.776777,-0.015503,0.038954,-0.058251,0.157847
1.786787,-0.015229,0.038481,-0.057989,0.159630
1.796797,-0.014958,0.038008,-0.057717,0.161424
1.806807,-0.014690,0.037537,-0.057435,0.163228
1.816817,-0.014426,0.037067,-0.057143,0.165041
1.826827,-0.014166,0.036597,-0.056841,0.166865
1.836837,-0.013908,0.036129,-0.056529,0.168698
1.846847,-0.013654,0.035662,-0.056209,0.170542
1.856857,-0.013403,0.035197,-0.055879,0.172396
1.866867,-0.013156,0.034734,-0.055541,0.174260
1.876877,-0.012912,0.034272,-0.055194,0.176133
1.886887,-0.012671,0.033811,-0.054839,0.178017
1.896897,-0.012433,0.033353,-0.054476,0.179911
1.906907,-0.012199,0.032897,-0.054106,0.181815
1.916917,-0.011967,0.032443,-0.053728,0.183729
1.926927,-0.011739,0.031991,-0.053343,0.185652
1.936937,-0.011515,0.031541,-0.052951,0.187586
1.946947,-0.011293,0.031093,-0.052552,0.189530
1.956957,-0.011074,0.030649,-0.052148,0.191484
1.966967,-0.010859,0.030206,-0.051737,0.193448
1.976977,-0.010647,0.029767,-0.051320,0.195422
1.986987,-0.010438,0.029330,-0.050897,0.197406
1.996997,-0.010232,0.028895,-0.050469,0.199400
2.007007,-0.010029,0.028464,-0.050037,0.201404
2.017017,-0.009829,0.028036,-0.049599,0.203418
2.027027,-0.009632,0.027610,-0.049156,0.205442
2.037037,-0.009438,0.027188,-0.048709,0.207476
2.047047,-0.009247,0.026769,-0.048258,0.209520
2.057057,-0.009059,0.026353,-0.047804,0.211574
2.067067,-0.008874,0.025940,-0.047345,0.213638
2.077077,-0.008692,0.025530,-0.046883,0.215712
2.087087,-0.008512,0.025124,-0.046418,0.217797
2.097097,-0.008336,0.024722,-0.045949,0.219891
2.107107,-0.008162,0.024322,-0.045478,0.221995
2.117117,-0.007991,0.023927,-0.045005,0.224109
2.127127,-0.007824,0.023535,-0.044529,0.226233
2.137137,-0.007658,0.023146,-0.044051,0.228368
2.147147,-0.007496,0.022761,-0.043571,0.230512
2.157157,-0.007336,0.022380,-0.043089,0.232666
2.167167,-0.007179,0.022002,-0.042606,0.234831
2.177177,-0.007025,0.021628,-0.042122,0.237005
2.187187,-0.006873,0.021258,-0.041636,0.239189
2.197197,-0.006724,0.020892,-0.041150,0.241384
2.207207,-0.006577,0.020530,-0.040663,0.243588
2.217217,-0.006433,0.020171,-0.040175,0.245803
2.227227,-0.006292,0.019817,-0.039687,0.248027
2.237237,-0.006152,0.019466,-0.039199,0.250262
2.247247,-0.006016,0.019119,-0.038711,0.252506
2.257257,-0.005882,0.018776,-0.038223,0.254761
2.267267,-0.005750,0.018437,-0.037735,0.257025
2.277277,-0.005621,0.018102,-0.037248,0.259300
2.287287,-0.005494,0.017771,-0.036762,0.261584
2.297297,-0.005369,0.017444,-0.036276,0.263879
2.307307,-0.005247,0.017120,-0.035792,0.266183
2.317317,-0.005127,0.016801,-0.035309,0.268498
2.327327,-0.005009,0.016486,-0.034827,0.270823
2.337337,-0.004893,0.016175,-0.034346,0.273157
2.347347,-0.004780,0.015868,-0.033867,0.275502
2.357357,-0.004669,0.015565,-0.033390,0.277857
2.367367,-0.004560,0.015265,-0.032914,0.280221
2.377377,-0.004453,0.014970,-0.032441,0.282596
2.387387,-0.004348,0.014679,-0.031970,0.284981
2.397397,-0.004245,0.014392,-0.031501,0.287376
2.407407,-0.004144,0.014108,-0.031034,0.289781
2.417417,-0.004045,0.013829,-0.030570,0.292195
2.427427,-0.003948,0.013554,-0.030108,0.294620
2.437437,-0.003853,0.013282,-0.029650,0.297055
2.447447,-0.003760,0.013015,-0.029193,0.299500
2.457457,-0.003669,0.012751,-0.028740,0.301955
2.467467,-0.003580,0.012491,-0.028290,0.304420
2.477477,-0.003492,0.012235,-0.027843,0.306895
2.487487,-0.003406,0.011983,-0.027399,0.309380
2.497497,-0.003323,0.011735,-0.026958,0.311875
2.507508,-0.003240,0.011490,-0.026521,0.314380
2.517518,-0.003160,0.011250,-0.026087,0.316895
2.527528,-0.003081,0.011013,-0.025656,0.319420
2.537538,-0.003004,0.010780,-0.025230,0.321955
2.547548,-0.002928,0.010550,-0.024806,0.324500
2.557558,-0.002855,0.010325,-0.024387,0.327055
2.567568,-0.002782,0.010102,-0.023971,0.329620
2.577578,-0.002712,0.009884,-0.023559,0.332195
2.587588,-0.002642,0.009669,-0.023151,0.334780
2.597598,-0.002575,0.009458,-0.022747,0.337376
2.607608,-0.002508,0.009250,-0.022347,0.339981
2.617618,-0.002444,0.009046,-0.021951,0.342596
2.627628,-0.002380,0.008845,-0.021559,0.345221
2.637638,-0.002318,0.008648,-0.021171,0.347857
2.647648,-0.002258,0.008454,-0.020787,0.350502
2.657658,-0.002199,0.008264,-0.020408,0.353157
2.667668,-0.002141,0.008077,-0.020032,0.355823
2.677678,-0.002084,0.007893,-0.019661,0.358498
2.687688,-0.002029,0.007713,-0.019294,0.361183
2.697698,-0.001975,0.007536,-0.018932,0.363879
2.707708,-0.001923,0.007362,-0.018573,0.366584
2.717718,-0.001871,0.007191,-0.018220,0.369299
2.727728,-0.001821,0.007023,-0.017870,0.372025
2.737738,-0.001772,0.006859,-0.017525,0.374760
2.747748,-0.001724,0.006698,-0.017184,0.377506
2.757758,-0.001677,0.006539,-0.016848,0.380261
2.767768,-0.001631,0.006384,-0.016516,0.383027
2.777778,-0.001586,0.006232,-0.016188,0.385802
2.787788,-0.001543,0.006082,-0.015865,0.388588
2.797798,-0.001500,0.005936,-0.015546,0.391384
2.807808,-0.001459,0.005792,-0.015232,0.394189
2.817818,-0.001418,0.005652,-0.014922,0.397005
2.827828,-0.001379,0.005514,-0.014616,0.399831
2.837838,-0.001340,0.005378,-0.014315,0.402666
2.847848,-0.001303,0.005246,-0.014018,0.405512
2.857858,-0.001266,0.005116,-0.013726,0.408368
2.867868,-0.001230,0.004989,-0.013438,0.411233
2.877878,-0.001195,0.004865,-0.013154,0.414109
2.887888,-0.001161,0.004743,-0.012875,0.416995
2.897898,-0.001128,0.004623,-0.012600,0.419891
2.907908,-0.001096,0.004506,-0.012329,0.422796
2.917918,-0.001064,0.004392,-0.012062,0.425712
2.927928,-0.001034,0.004280,-0.011800,0.428638
2.937938,-0.001004,0.004170,-0.011542,0.431574
2.947948,-0.000975,0.004063,-0.011288,0.434520
2.957958,-0.000946,0.003958,-0.011039,0.437476
2.967968,-0.000919,0.003855,-0.010793,0.440442
2.977978,-0.000892,0.003755,-0.010552,0.443418
2.987988,-0.000865,0.003657,-0.010314,0.446404
2.997998,-0.000840,0.003561,-0.010081,0.449400
3.008008,-0.000815,0.003467,-0.009852,0.452406
3.018018,-0.000791,0.003375,-0.009626,0.455422
3.028028,-0.000767,0.003285,-0.009405,0.458448
3.038038,-0.000744,0.003198,-0.009188,0.461484
3.048048,-0.000722,0.003112,-0.008974,0.464530
3.058058,-0.000700,0.003028,-0.008765,0.467586
3.068068,-0.000679,0.002946,-0.008559,0.470652
3.078078,-0.000659,0.002866,-0.008357,0.473728
3.088088,-0.000638,0.002788,-0.008159,0.476814
3.098098,-0.000619,0.002712,-0.007964,0.479911
3.108108,-0.000600,0.002638,-0.007773,0.483017
3.118118,-0.000582,0.002565,-0.007586,0.486133
3.128128,-0.000564,0.002494,-0.007402,0.489259
3.138138,-0.000546,0.002425,-0.007222,0.492396
3.148148,-0.000529,0.002357,-0.007046,0.495542
3.158158,-0.000513,0.002291,-0.006873,0.498698
3.168168,-0.000497,0.002227,-0.006703,0.501864
3.178178,-0.000481,0.002164,-0.006537,0.505041
3.188188,-0.000466,0.002103,-0.006374,0.508227
3.198198,-0.000452,0.002043,-0.006214,0.511424
3.208208,-0.000437,0.001985,-0.006058,0.514630
3.218218,-0.000424,0.001928,-0.005904,0.517846
3.228228,-0.000410,0.001872,-0.005754,0.521073
3.238238,-0.000397,0.001818,-0.005607,0.524309
3.248248,-0.000384,0.001766,-0.005464,0.527556
3.258258,-0.000372,0.001714,-0.005323,0.530812
3.268268,-0.000360,0.001664,-0.005185,0.534079
3.278278,-0.000349,0.001616,-0.005050,0.537355
3.288288,-0.000337,0.001568,-0.004918,0.540642
3.298298,-0.000326,0.001522,-0.004789,0.543939
3.308308,-0.000316,0.001477,-0.004663,0.547245
3.318318,-0.000305,0.001433,-0.004539,0.550562
3.328328,-0.000295,0.001390,-0.004419,0.553888
3.338338,-0.000286,0.001349,-0.004301,0.557225
3.348348,-0.000276,0.001308,-0.004185,0.560572
3.358358,-0.000267,0.001269,-0.004073,0.563929
3.368368,-0.000258,0.001231,-0.003962,0.567295
3.378378,-0.000250,0.001193,-0.003855,0.570672
3.388388,-0.000241,0.001157,-0.003749,0.574059
3.398398,-0.000233,0.001122,-0.003647,0.577456
3.408408,-0.000226,0.001087,-0.003546,0.580862
3.418418,-0.000218,0.001054,-0.003448,0.584279
3.428428,-0.000211,0.001021,-0.003352,0.587706
3.438438,-0.000204,0.000990,-0.003259,0.591143
3.448448,-0.000197,0.000959,-0.003168,0.594590
3.458458,-0.000190,0.000929,-0.003079,0.598047
3.468468,-0.000183,0.000900,-0.002992,0.601514
3.478478,-0.000177,0.000872,-0.002907,0.604991
3.488488,-0.000171,0.000844,-0.002824,0.608478
3.498498,-0.000165,0.000818,-0.002743,0.611975
3.508509,-0.000160,0.000792,-0.002665,0.615482
3.518519,-0.000154,0.000767,-0.002588,0.618999
3.528529,-0.000149,0.000742,-0.002513,0.622526
3.538539,-0.000144,0.000718,-0.002440,0.626063
3.548549,-0.000139,0.000695,-0.002369,0.629610
3.558559,-0.000134,0.000673,-0.002300,0.633167
3.568569,-0.000129,0.000651,-0.002232,0.636734
3.578579,-0.000124,0.000630,-0.002166,0.640311
3.588589,-0.000120,0.000609,-0.002102,0.643898
3.598599,-0.000116,0.000590,-0.002040,0.647496
3.608609,-0.000112,0.000570,-0.001979,0.651103
3.618619,-0.000108,0.000552,-0.001919,0.654720
3.628629,-0.000104,0.000533,-0.001862,0.658347
3.638639,-0.000100,0.000516,-0.001805,0.661985
3.648649,-0.000097,0.000499,-0.001751,0.665632
3.658659,-0.000093,0.000482,-0.001698,0.669289
3.668669,-0.000090,0.000466,-0.001646,0.672956
3.678679,-0.000087,0.000450,-0.001595,0.676634
3.688689,-0.000083,0.000435,-0.001546,0.680321
3.698699,-0.000080,0.000421,-0.001499,0.684019
3.708709,-0.000077,0.000406,-0.001452,0.687726
3.718719,-0.000075,0.000393,-0.001407,0.691443
3.728729,-0.000072,0.000379,-0.001363,0.695171
3.738739,-0.000069,0.000366,-0.001320,0.698908
3.748749,-0.000067,0.000354,-0.001279,0.702656
3.758759,-0.000064,0.000342,-0.001239,0.706413
3.768769,-0.000062,0.000330,-0.001199,0.710181
3.778779,-0.000060,0.000318,-0.001161,0.713958
3.788789,-0.000057,0.000307,-0.001124,0.717746
3.798799,-0.000055,0.000297,-0.001088,0.721544
3.808809,-0.000053,0.000286,-0.001053,0.725351
3.818819,-0.000051,0.000276,-0.001019,0.729169
3.828829,-0.000049,0.000267,-0.000986,0.732997
3.838839,-0.000047,0.000257,-0.000954,0.736834
3.848849,-0.000046,0.000248,-0.000923,0.740682
3.858859,-0.000044,0.000240,-0.000893,0.744540
3.868869,-0.000042,0.000231,-0.000864,0.748407
3.878879,-0.000041,0.000223,-0.000836,0.752285
3.888889,-0.000039,0.000215,-0.000808,0.756173
3.898899,-0.000038,0.000207,-0.000781,0.760071
3.908909,-0.000036,0.000200,-0.000755,0.763978
3.918919,-0.000035,0.000193,-0.000730,0.767896
3.928929,-0.000033,0.000186,-0.000706,0.771824
3.938939,-0.000032,0.000179,-0.000682,0.775762
3.948949,-0.000031,0.000172,-0.000659,0.779710
3.958959,-0.000030,0.000166,-0.000637,0.783668
3.968969,-0.000029,0.000160,-0.000615,0.787636
3.978979,-0.000027,0.000154,-0.000594,0.791614
3.988989,-0.000026,0.000149,-0.000574,0.795602
3.998999,-0.000025,0.000143,-0.000554,0.799600
4.009009,-0.000024,0.000138,-0.000535,0.803608
4.019019,-0.000023,0.000133,-0.000517,0.807626
4.029029,-0.000022,0.000128,-0.000499,0.811654
4.039039,-0.000022,0.000123,-0.000482,0.815692
4.049049,-0.000021,0.000118,-0.000465,0.819740
4.059059,-0.000020,0.000114,-0.000449,0.823798
4.069069,-0.000019,0.000110,-0.000433,0.827866
4.079079,-0.000018,0.000106,-0.000418,0.831944
4.089089,-0.000018,0.000102,-0.000403,0.836032
4.099099,-0.000017,0.000098,-0.000389,0.840131
4.109109,-0.000016,0.000094,-0.000375,0.844239
4.119119,-0.000016,0.000091,-0.000362,0.848357
4.129129,-0.000015,0.000087,-0.000349,0.852485
4.139139,-0.000014,0.000084,-0.000336,0.856624
4.149149,-0.000014,0.000081,-0.000324,0.860772
4.159159,-0.000013,0.000077,-0.000313,0.864930
4.169169,-0.000013,0.000074,-0.000301,0.869099
4.179179,-0.000012,0.000072,-0.000290,0.873277
4.189189,-0.000012,0.000069,-0.000280,0.877465
4.199199,-0.000011,0.000066,-0.000270,0.881664
4.209209,-0.000011,0.000064,-0.000260,0.885872
4.219219,-0.000010,0.000061,-0.000250,0.890091
4.229229,-0.000010,0.000059,-0.000241,0.894319
4.239239,-0.000009,0.000056,-0.000232,0.898557
